Timestamp,Violation Type,Confidence
2026-05-08 22:52:48,No Helmet,0.76
2026-05-08 22:52:50,No Helmet,0.78
2026-05-08 22:52:52,No Helmet,0.82
2026-05-08 22:52:54,No Helmet,0.61
2026-05-08 22:52:56,No Helmet,0.63
2026-05-08 22:52:58,No Helmet,0.53
2026-05-08 22:53:00,No Helmet,0.77
2026-05-08 22:53:02,No Helmet,0.70
2026-05-08 22:53:04,No Helmet,0.86
2026-05-08 22:53:06,No Helmet,0.65
2026-05-08 22:53:09,No Helmet,0.76
2026-05-08 22:53:11,No Helmet,0.71
2026-05-08 22:53:13,No Helmet,0.73
2026-05-08 22:53:15,No Helmet,0.78
2026-05-08 22:53:17,No Helmet,0.77
2026-05-08 22:53:19,No Helmet,0.76
2026-05-08 22:53:21,No Helmet,0.75
2026-05-08 22:53:23,No Helmet,0.76
2026-05-08 22:53:25,No Helmet,0.74
2026-05-08 22:53:27,No Helmet,0.71
2026-05-08 22:53:29,No Helmet,0.73
2026-05-08 22:53:31,No Helmet,0.66
2026-05-08 22:53:33,No Helmet,0.70
2026-05-08 22:53:35,No Helmet,0.70
2026-05-08 22:53:37,No Helmet,0.76
2026-05-08 22:53:39,No Helmet,0.98
2026-05-08 22:53:41,No Helmet,0.98
2026-05-08 22:53:43,No Helmet,0.96
2026-05-08 22:53:45,No Helmet,0.92
2026-05-08 22:53:47,No Helmet,0.79
2026-05-08 22:53:49,No Helmet,0.96
2026-05-08 22:53:51,No Helmet,0.89
2026-05-08 22:53:53,No Helmet,0.89
2026-05-08 22:53:55,No Helmet,0.97
2026-05-08 22:53:57,No Helmet,0.98
2026-05-08 22:53:59,No Helmet,0.96
2026-05-08 22:54:01,No Helmet,0.97
2026-05-08 22:54:03,No Helmet,0.94
2026-05-08 22:54:05,No Helmet,0.70
2026-05-08 22:54:07,No Helmet,0.83
2026-05-08 22:54:09,No Helmet,0.82
2026-05-08 22:54:11,No Helmet,0.75
2026-05-08 22:54:14,No Helmet,0.50
2026-05-08 22:54:16,No Helmet,0.83
2026-05-08 22:54:18,No Helmet,0.81
2026-05-08 22:54:20,No Helmet,0.45
2026-05-08 22:55:15,No Helmet,0.59
2026-05-08 22:55:17,No Helmet,0.81
2026-05-08 22:55:19,No Helmet,0.54
2026-05-08 22:55:21,No Helmet,0.43
2026-05-08 22:55:23,No Helmet,0.54
2026-05-08 22:55:25,No Helmet,0.47
2026-05-08 22:55:27,No Helmet,0.46
2026-05-08 22:55:30,No Helmet,0.50
2026-05-08 22:55:32,No Helmet,0.50
2026-05-08 22:55:34,No Helmet,0.41
2026-05-08 22:55:36,No Helmet,0.68
2026-05-08 22:55:38,No Helmet,0.46
2026-05-08 22:55:40,No Helmet,0.45
2026-05-08 22:55:42,No Helmet,0.44
2026-05-08 22:55:44,No Helmet,0.48
2026-05-08 22:55:46,No Helmet,0.56
2026-05-08 22:55:48,No Helmet,0.55
2026-05-08 22:55:50,No Helmet,0.69
2026-05-08 22:55:53,No Helmet,0.50
2026-05-08 22:55:55,No Helmet,0.64
2026-05-08 22:55:57,No Helmet,0.50
2026-05-08 22:55:59,No Helmet,0.64
2026-05-08 22:56:01,No Helmet,0.57
2026-05-08 22:56:03,No Helmet,0.52
2026-05-08 22:56:05,No Helmet,0.52
2026-05-08 22:56:07,No Helmet,0.43
2026-05-08 22:56:09,No Helmet,0.52
2026-05-08 22:56:11,No Helmet,0.43
2026-05-08 22:56:13,No Helmet,0.62
2026-05-08 22:56:15,No Helmet,0.74
2026-05-08 22:56:17,No Helmet,0.60
2026-05-08 22:56:19,No Helmet,0.44
2026-05-08 22:56:21,No Helmet,0.71
2026-05-08 22:56:24,No Helmet,0.41
2026-05-08 22:56:26,No Helmet,0.73
2026-05-08 22:56:28,No Helmet,0.48
2026-05-08 22:56:30,No Helmet,0.70
2026-05-08 22:56:32,No Helmet,0.58
2026-05-08 22:56:34,No Helmet,0.42
2026-05-08 22:56:36,No Helmet,0.63
2026-05-08 22:56:38,No Helmet,0.71
2026-05-08 22:56:40,No Helmet,0.59
2026-05-08 23:10:38,No Helmet,0.67
2026-05-08 23:10:40,No Helmet,0.78
2026-05-08 23:10:42,No Helmet,0.76
2026-05-08 23:10:44,No Helmet,0.75
2026-05-08 23:10:46,No Helmet,0.78
2026-05-08 23:10:48,No Helmet,0.65
2026-05-08 23:10:51,No Helmet,0.66
2026-05-08 23:10:56,No Helmet,0.69
2026-05-08 23:10:58,No Helmet,0.68
2026-05-08 23:11:00,No Helmet,0.72
2026-05-08 23:11:02,No Helmet,0.75
2026-05-08 23:11:04,No Helmet,0.74
2026-05-08 23:11:06,No Helmet,0.76
2026-05-08 23:11:08,No Helmet,0.77
2026-05-08 23:11:10,No Helmet,0.74
2026-05-08 23:11:12,No Helmet,0.76
2026-05-08 23:11:14,No Helmet,0.77
2026-05-08 23:11:16,No Helmet,0.66
2026-05-08 23:11:18,No Helmet,0.69
2026-05-08 23:11:20,No Helmet,0.70
2026-05-08 23:11:22,No Helmet,0.70
2026-05-08 23:11:24,No Helmet,0.70
2026-05-08 23:11:26,No Helmet,0.72
2026-05-08 23:11:28,No Helmet,0.68
2026-05-08 23:11:30,No Helmet,0.70
2026-05-08 23:11:33,No Helmet,0.70
2026-05-08 23:11:35,No Helmet,0.73
2026-05-08 23:11:37,No Helmet,0.71
2026-05-08 23:11:39,No Helmet,0.67
2026-05-08 23:11:41,No Helmet,0.71
2026-05-08 23:11:43,No Helmet,0.66
2026-05-08 23:11:45,No Helmet,0.65
2026-05-08 23:11:47,No Helmet,0.68
2026-05-08 23:11:52,No Helmet,0.65
2026-05-08 23:11:55,No Helmet,0.67
2026-05-08 23:12:00,No Helmet,0.66
2026-05-08 23:12:10,No Helmet,0.65
2026-05-08 23:12:12,No Helmet,0.67
2026-05-08 23:12:14,No Helmet,0.70
2026-05-08 23:12:16,No Helmet,0.66
2026-05-08 23:12:21,No Helmet,0.69
2026-05-08 23:12:24,No Helmet,0.69
2026-05-08 23:12:26,No Helmet,0.69
2026-05-08 23:12:28,No Helmet,0.66
2026-05-08 23:12:30,No Helmet,0.66
2026-05-08 23:12:32,No Helmet,0.71
2026-05-08 23:12:34,No Helmet,0.69
2026-05-08 23:12:36,No Helmet,0.67
2026-05-08 23:12:46,No Helmet,0.77
2026-05-08 23:12:49,No Helmet,0.76
2026-05-08 23:12:54,No Helmet,0.77
2026-05-08 23:12:56,No Helmet,0.79
2026-05-08 23:13:05,No Helmet,0.76
2026-05-08 23:13:07,No Helmet,0.79
2026-05-08 23:13:10,No Helmet,0.78
2026-05-08 23:14:02,No Helmet,0.61
2026-05-08 23:14:04,No Helmet,0.64
2026-05-08 23:14:06,No Helmet,0.61
2026-05-08 23:14:09,No Helmet,0.60
2026-05-08 23:14:11,No Helmet,0.67
2026-05-08 23:14:14,No Helmet,0.63
2026-05-08 23:14:18,No Helmet,0.61
2026-05-08 23:14:21,No Helmet,0.63
2026-05-08 23:14:23,No Helmet,0.59
2026-05-08 23:14:25,No Helmet,0.66
2026-05-08 23:14:28,No Helmet,0.60
2026-05-08 23:14:30,No Helmet,0.53
2026-05-08 23:14:32,No Helmet,0.58
2026-05-08 23:14:34,No Helmet,0.60
2026-05-08 23:14:36,No Helmet,0.65
2026-05-08 23:14:38,No Helmet,0.54
